,start,end
0,200513205001,200513205120
1,200513103001,200513103120
2,200513104001,200513104120
3,200513105001,200513105120
4,200513106001,200513106120
5,200613205001,200613205120
6,200613103001,200613103120
7,200613104001,200613104120
8,200613105001,200613105120
9,200613106001,200613106120
10,200713205001,200713205120
11,200713103001,200713103120
12,200713104001,200713104120
13,200713105001,200713105120
14,200713106001,200713106120
15,232913205001,232913205120
16,232913103001,232913103120
17,232913104001,232913104120
18,232913105001,232913105120
19,232913106001,232913106120
20,233813205001,233813205120
21,233813103001,233813103120
22,233813104001,233813104120
23,233813105001,233813105120
24,233813106001,233813106120
25,234213205001,234213205120
26,234213103001,234213103120
27,234213104001,234213104120
28,234213105001,234213105120
29,234213106001,234213106120
30,234813205001,234813205120
31,234813103001,234813103120
32,234813104001,234813104120
33,234813105001,234813105120
34,234813106001,234813106120
35,234913205001,234913205120
36,234913103001,234913103120
37,234913104001,234913104120
38,234913105001,234913105120
39,234913106001,234913106120
40,235113205001,235113205120
41,235113103001,235113103120
42,235113104001,235113104120
43,235113105001,235113105120
44,235113106001,235113106120
45,235413205001,235413205120
46,235413103001,235413103120
47,235413104001,235413104120
48,235413105001,235413105120
49,235413106001,235413106120
50,235713205001,235713205120
51,235713103001,235713103120
52,235713104001,235713104120
53,235713105001,235713105120
54,235713106001,235713106120
55,236013205001,236013205120
56,236013103001,236013103120
57,236013104001,236013104120
58,236013105001,236013105120
59,236013106001,236013106120
60,236113205001,236113205120
61,236113103001,236113103120
62,236113104001,236113104120
63,236113105001,236113105120
64,236113106001,236113106120
65,236413205001,236413205120
66,236413103001,236413103120
67,236413104001,236413104120
68,236413105001,236413105120
69,236413106001,236413106120
70,236513205001,236513205120
71,236513103001,236513103120
72,236513104001,236513104120
73,236513105001,236513105120
74,236513106001,236513106120
75,236713205001,236713205120
76,236713103001,236713103120
77,236713104001,236713104120
78,236713105001,236713105120
79,236713106001,236713106120
80,236813205001,236813205120
81,236813103001,236813103120
82,236813104001,236813104120
83,236813105001,236813105120
84,236813106001,236813106120
85,237013205001,237013205120
86,237013103001,237013103120
87,237013104001,237013104120
88,237013105001,237013105120
89,237013106001,237013106120
90,237213205001,237213205120
91,237213103001,237213103120
92,237213104001,237213104120
93,237213105001,237213105120
94,237213106001,237213106120
95,237313205001,237313205120
96,237313103001,237313103120
97,237313104001,237313104120
98,237313105001,237313105120
99,237313106001,237313106120
100,237713205001,237713205120
101,237713103001,237713103120
102,237713104001,237713104120
103,237713105001,237713105120
104,237713106001,237713106120
105,260413205001,260413205120
106,260413103001,260413103120
107,260413104001,260413104120
108,260413105001,260413105120
109,260413106001,260413106120
110,265013205001,265013205120
111,265013103001,265013103120
112,265013104001,265013104120
113,265013105001,265013105120
114,265013106001,265013106120
115,265413205001,265413205120
116,265413103001,265413103120
117,265413104001,265413104120
118,265413105001,265413105120
119,265413106001,265413106120
120,267313205001,267313205120
121,267313103001,267313103120
122,267313104001,267313104120
123,267313105001,267313105120
124,267313106001,267313106120
125,270413205001,270413205120
126,270413103001,270413103120
127,270413104001,270413104120
128,270413105001,270413105120
129,270413106001,270413106120
130,270613205001,270613205120
131,270613103001,270613103120
132,270613104001,270613104120
133,270613105001,270613105120
134,270613106001,270613106120
135,270813205001,270813205120
136,270813103001,270813103120
137,270813104001,270813104120
138,270813105001,270813105120
139,270813106001,270813106120
140,271013205001,271013205120
141,271013103001,271013103120
142,271013104001,271013104120
143,271013105001,271013105120
144,271013106001,271013106120
145,271213205001,271213205120
146,271213103001,271213103120
147,271213104001,271213104120
148,271213105001,271213105120
149,271213106001,271213106120
150,271413205001,271413205120
151,271413103001,271413103120
152,271413104001,271413104120
153,271413105001,271413105120
154,271413106001,271413106120
155,271613205001,271613205120
156,271613103001,271613103120
157,271613104001,271613104120
158,271613105001,271613105120
159,271613106001,271613106120
160,271813205001,271813205120
161,271813103001,271813103120
162,271813104001,271813104120
163,271813105001,271813105120
164,271813106001,271813106120
165,271913205001,271913205120
166,271913103001,271913103120
167,271913104001,271913104120
168,271913105001,271913105120
169,271913106001,271913106120
170,272113205001,272113205120
171,272113103001,272113103120
172,272113104001,272113104120
173,272113105001,272113105120
174,272113106001,272113106120
175,272213205001,272213205120
176,272213103001,272213103120
177,272213104001,272213104120
178,272213105001,272213105120
179,272213106001,272213106120
180,272413205001,272413205120
181,272413103001,272413103120
182,272413104001,272413104120
183,272413105001,272413105120
184,272413106001,272413106120
185,272513205001,272513205120
186,272513103001,272513103120
187,272513104001,272513104120
188,272513105001,272513105120
189,272513106001,272513106120
190,272613205001,272613205120
191,272613103001,272613103120
192,272613104001,272613104120
193,272613105001,272613105120
194,272613106001,272613106120
195,272713205001,272713205120
196,272713103001,272713103120
197,272713104001,272713104120
198,272713105001,272713105120
199,272713106001,272713106120
200,272813205001,272813205120
201,272813103001,272813103120
202,272813104001,272813104120
203,272813105001,272813105120
204,272813106001,272813106120
205,272913205001,272913205120
206,272913103001,272913103120
207,272913104001,272913104120
208,272913105001,272913105120
209,272913106001,272913106120
210,273013205001,273013205120
211,273013103001,273013103120
212,273013104001,273013104120
213,273013105001,273013105120
214,273013106001,273013106120
215,273113205001,273113205120
216,273113103001,273113103120
217,273113104001,273113104120
218,273113105001,273113105120
219,273113106001,273113106120
220,273213205001,273213205120
221,273213103001,273213103120
222,273213104001,273213104120
223,273213105001,273213105120
224,273213106001,273213106120
225,273413205001,273413205120
226,273413103001,273413103120
227,273413104001,273413104120
228,273413105001,273413105120
229,273413106001,273413106120
230,273513205001,273513205120
231,273513103001,273513103120
232,273513104001,273513104120
233,273513105001,273513105120
234,273513106001,273513106120
235,273613205001,273613205120
236,273613103001,273613103120
237,273613104001,273613104120
238,273613105001,273613105120
239,273613106001,273613106120
240,273713205001,273713205120
241,273713103001,273713103120
242,273713104001,273713104120
243,273713105001,273713105120
244,273713106001,273713106120
245,273813205001,273813205120
246,273813103001,273813103120
247,273813104001,273813104120
248,273813105001,273813105120
249,273813106001,273813106120
250,273913205001,273913205120
251,273913103001,273913103120
252,273913104001,273913104120
253,273913105001,273913105120
254,273913106001,273913106120
255,274013205001,274013205120
256,274013103001,274013103120
257,274013104001,274013104120
258,274013105001,274013105120
259,274013106001,274013106120
260,274113205001,274113205120
261,274113103001,274113103120
262,274113104001,274113104120
263,274113105001,274113105120
264,274113106001,274113106120
265,274313205001,274313205120
266,274313103001,274313103120
267,274313104001,274313104120
268,274313105001,274313105120
269,274313106001,274313106120
270,274413205001,274413205120
271,274413103001,274413103120
272,274413104001,274413104120
273,274413105001,274413105120
274,274413106001,274413106120
275,274513205001,274513205120
276,274513103001,274513103120
277,274513104001,274513104120
278,274513105001,274513105120
279,274513106001,274513106120
280,274613205001,274613205120
281,274613103001,274613103120
282,274613104001,274613104120
283,274613105001,274613105120
284,274613106001,274613106120
285,274913205001,274913205120
286,274913103001,274913103120
287,274913104001,274913104120
288,274913105001,274913105120
289,274913106001,274913106120
290,275013205001,275013205120
291,275013103001,275013103120
292,275013104001,275013104120
293,275013105001,275013105120
294,275013106001,275013106120
295,275113205001,275113205120
296,275113103001,275113103120
297,275113104001,275113104120
298,275113105001,275113105120
299,275113106001,275113106120
300,275313205001,275313205120
301,275313103001,275313103120
302,275313104001,275313104120
303,275313105001,275313105120
304,275313106001,275313106120
305,275513205001,275513205120
306,275513103001,275513103120
307,275513104001,275513104120
308,275513105001,275513105120
309,275513106001,275513106120
310,275713205001,275713205120
311,275713103001,275713103120
312,275713104001,275713104120
313,275713105001,275713105120
314,275713106001,275713106120
315,276113205001,276113205120
316,276113103001,276113103120
317,276113104001,276113104120
318,276113105001,276113105120
319,276113106001,276113106120
320,276213205001,276213205120
321,276213103001,276213103120
322,276213104001,276213104120
323,276213105001,276213105120
324,276213106001,276213106120
325,276313205001,276313205120
326,276313103001,276313103120
327,276313104001,276313104120
328,276313105001,276313105120
329,276313106001,276313106120
330,276413205001,276413205120
331,276413103001,276413103120
332,276413104001,276413104120
333,276413105001,276413105120
334,276413106001,276413106120
335,276513205001,276513205120
336,276513103001,276513103120
337,276513104001,276513104120
338,276513105001,276513105120
339,276513106001,276513106120
340,276813205001,276813205120
341,276813103001,276813103120
342,276813104001,276813104120
343,276813105001,276813105120
344,276813106001,276813106120
345,276913205001,276913205120
346,276913103001,276913103120
347,276913104001,276913104120
348,276913105001,276913105120
349,276913106001,276913106120
350,277013205001,277013205120
351,277013103001,277013103120
352,277013104001,277013104120
353,277013105001,277013105120
354,277013106001,277013106120
355,277213205001,277213205120
356,277213103001,277213103120
357,277213104001,277213104120
358,277213105001,277213105120
359,277213106001,277213106120
360,277413205001,277413205120
361,277413103001,277413103120
362,277413104001,277413104120
363,277413105001,277413105120
364,277413106001,277413106120
365,277613205001,277613205120
366,277613103001,277613103120
367,277613104001,277613104120
368,277613105001,277613105120
369,277613106001,277613106120
370,277813205001,277813205120
371,277813103001,277813103120
372,277813104001,277813104120
373,277813105001,277813105120
374,277813106001,277813106120
375,277913205001,277913205120
376,277913103001,277913103120
377,277913104001,277913104120
378,277913105001,277913105120
379,277913106001,277913106120
